"Feature","GSM468603.CEL.x","GSM468604.CEL.x","GSM468621.CEL.x","GSM468605.CEL","GSM468607.CEL","GSM468609.CEL.x","GSM468610.CEL.x","GSM468611.CEL.x","GSM468622.CEL.x","GSM468612.CEL","GSM468615.CEL.x","GSM468616.CEL.x","GSM468623.CEL.x","GSM468617.CEL","GSM468618.CEL","GSM468606.CEL","GSM468608.CEL","GSM468613.CEL","GSM468614.CEL","GSM468619.CEL","GSM468620.CEL"
"DDX24",8.034088615,7.322003498,7.845873494,7.895942364,6.997035314,8.249508296,7.533086814,7.814623051,7.657465322,7.409986615,8.442767231,7.522286589,8.062134634,8.073295106,7.243914209,8.116340462,7.658383186,8.44734693,7.599130573,8.319147667,7.577537313
"KNL1",7.36425539,6.736191619,7.553506436,7.809967752,7.532902706,6.871540959,6.468958596,7.61647499,7.188619607,7.21687934,6.73372783,6.172863062,6.941781518,7.482447135,6.843298882,7.036063182,7.462329279,6.974449741,7.325337559,6.814642121,6.707874376
"AGTRAP",4.096455329,4.068920996,3.89321428,3.952287068,4.122896907,3.801956174,3.801956174,3.752831615,3.848477215,3.793045027,3.94865902,3.730404799,4.055649324,3.84963961,3.804523511,4.27783648,4.339530391,4.496233871,4.27783648,4.218087209,3.864600545
"PLSCR4",8.682025486,9.001882518,9.39523015,9.235699097,9.357315547,8.968622097,9.155988424,9.2790221,9.474121726,9.361838996,8.109594001,7.897348263,8.609616758,8.679664505,9.15470674,9.118299899,9.005388631,9.412177617,9.687367542,8.248572891,8.554230514
"ENTPD7",6.675836013,6.725679282,6.420693848,6.53125729,6.677958908,6.860042966,6.704670128,6.791852652,6.175771976,6.67416344,7.636339422,8.219186849,7.694309661,7.637673389,7.978786343,6.13517587,6.068005565,6.261463443,6.093440512,7.05751773,7.876309063
"CASS4",3.11047472,3.156941704,3.026253794,2.955569432,3.080055075,3.139096782,3.263439645,3.087703297,3.042061537,3.128050798,3.165795639,3.168998328,2.981733184,3.087703297,3.096975804,3.087703297,3.123581737,3.098740905,3.026253794,3.051644464,3.283044294
"PCNP",10.25236267,9.872714935,10.26944642,10.36783277,10.13820094,10.45392051,9.72877401,10.40047486,10.05623879,9.748256097,10.32678815,9.631084253,9.987372191,10.31999215,9.950625138,10.3885817,10.09270303,10.43078414,10.15181444,10.30471923,10.26685456
"PITHD1",4.498541716,3.869965428,4.124012922,4.297283821,4.124012922,4.395967866,3.891839612,4.260090903,4.140272388,4.145107539,4.119861209,3.946529841,4.070218168,4.404470845,3.848827275,4.170687508,4.124012922,3.816987072,4.262521715,4.4420236,4.40022961
"RPGRIP1",4.580223013,4.726329647,4.802697824,4.792290251,4.817143404,4.694615144,4.718538536,4.911088777,5.09132173,4.773968412,4.872259466,4.702585729,4.774953516,4.733620911,4.858303574,4.837123486,4.550828421,4.588231361,4.766536852,4.575965234,4.811459229
"PARP11",4.29843192,4.621015873,4.811619554,4.818892582,5.290785554,4.226270597,4.558449914,4.865990222,4.524295476,5.28571068,4.463013715,4.124012922,5.040152823,4.814052366,5.086036685,3.910958962,4.509599445,3.925031046,4.763982647,4.212732479,4.596100399
"AVEN",8.092698118,8.714307461,8.331470174,7.7668328,8.698563664,7.784722718,8.566061113,7.748844242,8.423315974,8.727482706,7.704410588,8.678714348,8.449836149,7.881036325,8.486973769,7.824839103,8.500922965,7.51867319,8.412870019,7.867665146,8.318084698
"ANO2",6.068413356,5.90259523,5.248037478,6.396246357,5.901650783,5.838983522,6.058310474,5.451456317,5.270735989,5.937412151,4.863565827,5.322024392,4.135935894,4.944136769,5.00592023,6.357366924,5.94158237,6.182243011,5.951976219,5.628777131,5.329196457
"FERRY3",7.780069648,7.743156042,6.911108395,7.900672589,8.015538824,7.641858195,7.652884966,7.689807254,7.094893898,7.861784017,7.702758657,7.765361725,7.293201836,7.911084747,7.986249395,7.193075611,6.944321944,6.822632455,7.013756263,7.624104824,7.178070343
"TIGAR",9.417655545,9.145903562,9.034716774,9.620927961,9.662035829,9.471872498,9.132527381,9.38665459,9.027486508,9.519090892,9.351298143,9.347294133,9.078152465,9.595523971,9.596652377,9.378660145,9.28712269,9.363860354,9.396270399,9.451015941,9.338654446
"PNPLA2",6.360329704,6.609821827,6.339349517,6.19880393,6.459772912,5.921176534,6.496307905,6.024558098,6.62080536,6.267718848,6.357923953,6.911235698,6.523243297,6.285514655,6.098821764,6.408883463,6.412741239,6.412741239,6.182165427,6.423753586,6.23799201
"NAT14",6.971761839,7.471079064,7.528981629,7.142930544,7.369858172,6.778697067,7.41879469,6.951834578,7.559197619,7.556729384,7.134268511,7.298752725,7.717290298,7.417331561,7.61156552,7.503024463,8.019251916,7.312858969,7.93908039,7.468374873,7.643709568
"PDSS2",5.328145672,5.37376163,5.29571531,5.305303627,5.929598965,5.535655536,5.609340145,5.06045573,5.436808547,5.941552754,5.025241599,5.323021402,5.500669311,5.837345801,5.764415816,5.540756953,5.974586911,5.117546572,6.130935319,5.885430097,5.834856063
"REXO4",7.274426743,7.309430894,7.138810101,7.383720349,7.64797575,6.932929415,7.284945243,7.248206248,7.122661444,7.516032437,7.03886154,7.186560738,7.040324694,7.375582302,7.338288542,7.479812962,7.608289486,7.158448133,7.30510154,7.438366402,7.38584599
"PLAAT1",4.098054118,4.468616925,3.993935185,3.586450358,4.152913805,3.864875263,4.765045227,3.671865409,4.021293605,4.138347045,3.727026708,4.65279474,4.111670947,4.034063887,4.085681405,4.243883395,5.343915242,4.322006697,5.642213379,4.344748727,4.938908836
"PGLYRP4",4.375480658,4.57393229,4.461579705,4.334687393,4.334687393,4.291055524,4.548153089,4.2809504,4.302187507,3.927494726,4.68037827,4.242134225,4.574106578,4.334687393,4.226766175,4.126947311,4.337754612,4.211093652,4.251447373,4.224346924,4.414895541
"INTS12",8.737293872,8.425039961,8.402160332,8.646873601,8.404281598,8.847999236,8.483166936,8.776511373,8.553133552,8.610146959,8.574551629,8.337545743,8.437406037,8.68896108,8.407997799,8.51377542,8.268132925,8.662237604,8.468088938,8.628801675,8.334257257
"CAMK1D",4.305123649,5.013702501,4.432836502,4.464031498,4.750237747,4.509680834,5.098619536,4.43525342,4.635935414,5.05749483,4.934620688,5.548080635,5.039659654,4.900792961,5.176387804,4.450540733,5.016978241,5.011687463,4.957639702,5.225833931,5.262439587
"GOPC",6.848969495,5.77241109,6.80305686,7.397410628,6.473542078,6.511307638,6.020893375,7.177082066,6.839497017,6.404307163,6.850948157,6.034609581,7.25286315,7.465715241,6.955883697,7.563700618,6.807126699,7.178499099,6.701703912,7.883527442,7.030293525
"NUP107",9.471763855,9.104813915,9.045569737,9.372143587,9.119156324,9.282320545,8.971427798,9.166648217,8.940160369,9.009934468,9.147117013,8.957401204,8.810883585,9.348611916,8.977802881,9.169862487,9.186177265,9.132107211,9.133050699,9.242500282,9.019671761
"CD248",6.153668676,6.254696121,6.212472111,6.190211596,6.082697851,6.111336598,6.112646454,6.09729959,6.325473091,6.084737413,6.418286089,6.143226583,6.452436782,6.151589339,6.126721957,6.281030025,5.958301548,6.425056016,6.233196177,6.09353822,6.145043796
"PLXDC1",5.030128049,4.59261438,4.700257638,5.000727414,4.601619647,4.641378096,4.861085833,4.736086025,4.649681061,4.700257638,4.647245845,4.831635178,4.9754787,4.550463916,4.759665373,4.964826229,4.518763137,5.135262905,4.663051294,4.62757384,4.579147116
"LYRM4",9.23666798,9.553033942,9.207074432,9.121747075,9.635248323,9.300300075,9.543928122,9.112630517,9.268638309,9.626879694,9.185145664,9.622780888,9.137083603,9.332830007,9.59042925,9.047778169,9.416792104,8.837018469,9.311732705,9.08213024,9.264147682
"MRPL47",5.715901468,4.733541877,5.053881955,5.450787285,4.969599879,5.69368931,4.628005787,5.730037632,4.788320092,4.91698639,5.553335303,5.196114049,5.236018068,5.84138471,4.802540669,5.46819904,4.74115373,5.353402602,4.528326352,5.450787285,5.075234051
"ATP13A1",7.744982074,8.282719587,8.210823908,7.850823019,8.397481836,7.717417314,8.210354851,7.726897632,8.298389168,8.409600866,7.972487364,8.374172074,8.247875161,7.888079454,8.34828897,7.792729286,8.514660802,7.663994813,8.330536236,8.095057628,8.406162283
"CHMP1B",9.711302168,9.568198323,9.732040144,9.521682852,9.272872494,10.17362957,9.966748441,9.852569564,9.821488305,9.521376272,10.02120512,9.715654613,9.896977341,9.768597122,9.457538088,9.305729633,9.033287349,9.681496181,9.284895358,9.330068939,9.037293358
"MAN1C1",6.255382219,6.633385231,5.5590218,5.436678783,5.864751233,5.900136103,6.813475386,5.47726262,5.800358648,6.155085027,5.119006501,5.424723459,4.346350295,4.536038815,4.870408113,7.488726779,6.987834931,7.086153647,7.101147723,5.568312469,5.371033973
"APMAP",5.822606999,5.265857309,5.678406937,6.211543551,5.932945391,5.704370164,5.370382602,5.959472022,5.513935097,6.085520648,5.573156621,6.177639423,5.64749947,6.291890467,5.726874284,6.073789315,5.536023298,5.967070492,5.373360415,6.024788502,5.212756579
"RNPEPL1",6.574558693,6.86686032,6.422363968,6.41242171,6.715412775,6.363116381,7.061098366,6.386136636,6.893685102,6.838369952,6.419980379,6.768175875,6.531337103,6.424213334,6.397940782,6.54895597,7.10135926,6.469998804,6.674470766,6.583805252,6.607809419
"RTN4",6.399329468,6.156830161,6.98056887,6.721534491,7.070551049,6.508551506,6.585509224,6.565432992,5.920689582,7.477998468,6.357795151,6.037196607,6.103983744,6.438113169,6.779019695,5.524246509,6.543903076,6.150932309,6.638661241,5.535987795,6.520100668
"ADCK1",5.989398431,6.05395028,5.741230596,5.497341332,5.993694225,5.864287167,5.927135806,5.154884555,5.524244624,5.984623943,6.089401991,5.689815021,5.863096018,5.77779682,5.863096018,6.027182987,5.863096018,5.996920115,6.255475021,5.893246142,5.863096018
"LDAF1",5.385629372,6.06925024,6.239474803,4.799893103,6.040799047,4.999596184,6.077409671,5.04724515,5.702293273,5.58300406,5.055313052,5.346822302,5.470852505,4.979474116,5.300671272,5.341690389,6.538256084,5.58300406,6.485763579,5.265630537,6.183861499
"SCYL3",4.442323399,3.893010806,3.651271695,4.956071032,3.93294676,3.670314809,3.44199086,3.935276679,3.380747698,3.917960309,4.315656701,3.672751497,3.523761634,4.887210094,4.419597177,5.140291212,4.401427752,3.866361451,3.881993266,4.610130301,3.809526992
"RALGAPB",6.594127436,6.65727697,6.494933431,6.756098003,6.910566224,6.769908471,6.86688544,6.732941103,6.560942762,7.055585627,6.819908296,7.196883821,6.761883013,7.223262503,7.178687213,6.022165048,6.115007543,5.909764366,6.090896579,6.562851916,6.356528555
"LYRM1",9.858108956,10.25124904,9.62823192,9.333191141,9.379853244,9.799824258,10.11954568,9.103164833,9.545682704,9.312453123,9.516482089,9.906677018,9.37460729,9.048326466,9.033446301,10.14353899,10.05484956,10.2130486,10.11612702,9.899016146,9.961291581
"SMIM8",6.467360361,6.600334835,6.630424228,5.856150297,6.336048599,6.309866733,6.434262461,5.881124317,6.120840206,6.183272115,6.183920294,6.067347724,5.812753007,6.207701314,5.871554805,6.32718632,6.710883389,6.281030025,6.510004317,6.223710792,6.371227255
"LYZL6",4.565024358,4.213081582,4.254744455,4.216496351,4.360065,4.30968767,4.277750732,4.447657248,4.304497159,4.167533259,4.532737832,4.611634873,4.304497159,4.231406889,4.359132882,4.378979983,4.235110079,4.444660492,4.300199661,4.352875038,4.304497159
