"Feature","GSM926651_Boeckel_K2.CEL","GSM926652_Boeckel_K3.CEL","GSM926653_Boeckel_K4.CEL","GSM926654_Boeckel_S2.CEL","GSM926655_Boeckel_S3.CEL","GSM926656_Boeckel_S4.CEL","GSM926657_Boeckel_K2.CEL","GSM926658_Boeckel_K3.CEL","GSM926659_Boeckel_K4.CEL","GSM926660_Boeckel_S2.CEL","GSM926661_Boeckel_S3.CEL","GSM926662_Boeckel_S4.CEL"
"LYL1",9.513015645,9.571882477,9.481039703,9.532515975,9.496773508,9.493502479,9.513015645,9.571882477,9.481039703,9.532515975,9.496773508,9.493502479
"LYN",10.90776615,10.55341147,10.71744574,10.88432711,10.663086,10.79143571,10.90776615,10.55341147,10.71744574,10.88432711,10.663086,10.79143571
"SH2D1A",5.194707954,5.092410485,5.042804754,4.876999372,5.16340647,5.282218347,5.194707954,5.092410485,5.042804754,4.876999372,5.16340647,5.282218347
"LYZ",5.644870545,5.081125164,5.660855051,5.457214788,5.173396617,5.200609854,5.644870545,5.081125164,5.660855051,5.457214788,5.173396617,5.200609854
"TACSTD2",9.102384703,9.293777844,9.098410965,9.330638893,9.5049556,9.168656674,9.102384703,9.293777844,9.098410965,9.330638893,9.5049556,9.168656674
"TM4SF1",13.69724376,13.67402467,13.75809202,13.85614839,13.79053392,13.78982553,13.69724376,13.67402467,13.75809202,13.85614839,13.79053392,13.78982553
"EPCAM",4.206584817,4.088192899,4.164811298,4.095654868,4.218550362,4.19388746,4.206584817,4.088192899,4.164811298,4.095654868,4.218550362,4.19388746
"M6PR",12.19847773,12.1321333,12.13893436,12.30815611,12.22749428,12.20235304,12.19847773,12.1321333,12.13893436,12.30815611,12.22749428,12.20235304
"CAPRIN1",12.51887573,12.55592877,12.48809266,12.59774488,12.57246674,12.57731981,12.51887573,12.55592877,12.48809266,12.59774488,12.57246674,12.57731981
"NBR1",10.35004769,10.67773122,10.45162147,10.52381387,10.69789709,10.50193068,10.35004769,10.67773122,10.45162147,10.52381387,10.69789709,10.50193068
