"Feature","X_9444360021_A","X_9444360021_B","X_9444360021_C","X_9444360021_D","X_9444360021_E","X_9444360021_F","X_9444360021_G","X_9444360021_H","X_9444360021_I","X_9444360021_J","X_9444360021_K","X_9444360021_L","X_9444360049_A","X_9444360049_B","X_9444360049_C","X_9444360049_D","X_9444360049_E","X_9444360049_F","X_9444360049_G","X_9444360049_H","X_9444360049_I","X_9444360049_J","X_9444360049_K","X_9444360049_L"
"ABCA1",8.96981748993141,9.06406842838738,9.00474062710913,4.90920777569452,5.17789888562081,4.52520714371187,9.63142674605793,9.58717542366269,9.56326732411164,5.3896136020625,5.70158860815097,5.41898542072126,8.51050774201433,8.46965778964029,8.43440134574186,5.12075624673273,4.82447083505311,4.78858529476248,9.00231624279264,8.93306286668764,9.05263531551496,4.63920884646002,4.7976351578131,4.40483767953617
"ABCA10",4.26781209017222,4.36785473130622,4.31788233215478,4.58453850939412,4.61241169064694,4.30650744159553,4.30788739734391,4.49550691191945,4.43577120144597,4.26569379940433,4.45339498752159,4.31967778612359,4.38878359876609,4.477548955651,4.30618419188479,4.38635823000535,4.3897775071799,4.26399027522448,4.45247214416607,4.35229817033733,4.33813456678812,4.32620379067466,4.3182285533078,4.55416953476896
"ABCA11P",4.73136312565697,4.68828439274538,4.74140450204066,4.76173684888703,4.66691637942571,5.08812426307291,4.77937768314467,4.5552574735408,5.11836393544556,4.34346119310917,4.97848891358515,4.83089932036091,4.39412561405773,4.79104190193249,4.39244641315166,4.4217965446018,4.60418753662288,4.80671246195767,4.63017398665067,4.51486574677957,4.48465911903869,4.63920884646002,4.39525170737033,4.86192357214932
"ABCA12",4.31408756455854,4.20584693558404,4.23285926746106,4.21503340233649,4.27070156756992,4.28723999439173,4.28340187364646,4.34336727517916,4.19602769980048,4.24740577073305,4.2158161874252,4.31374726589625,4.2245223022289,4.21980614594276,4.39513719747767,4.26075517726755,4.27083654956946,4.31610660512286,4.26701317955762,4.21990648418849,4.2325366625114,4.26365992008823,4.20739871884689,4.24722744849591
"ABCA13",4.21887737986554,4.24441906436352,4.16416709721882,4.20924327782044,4.28776130409119,4.18056033449885,4.23529867197634,4.2430916848794,4.18755582390494,4.20078293750352,4.2258740199127,4.20804570975112,4.202360539452,4.22348653979662,4.27280913724037,4.222581608973,4.26767672823919,4.2325366625114,4.20942649314611,4.2429233186944,4.24722744849591,4.15801553366308,4.32270351237499,4.18975063556265
"ABCA2",4.40762847171219,4.42803820988619,4.43076051938079,4.23491720146039,4.38179168310126,4.37044357269746,4.21404560464606,4.25858620918531,4.5552574735408,4.22866836904539,4.27914502059884,4.31967778612359,4.34242747189669,4.4209548367211,4.77995492057729,4.69374257354408,4.40530842342332,4.38713038772659,4.25484177411512,4.29871056818421,4.45339498752159,4.37569314045275,4.61572521462436,4.37633238045814
"ABCA3",8.47480344984355,8.42045050455751,8.42708480879146,8.29337473680678,8.41646226600793,8.3546248295567,8.77377030881729,8.74736700509542,8.80599829524801,8.43265397710212,8.50120594145357,8.32150427751024,8.84565916494401,8.87169918526898,8.83332420668552,8.97706452823491,8.77470391483561,8.91407914302293,8.49919715858134,8.9186513624598,8.80876233823268,8.95299528502918,8.91423489897818,8.72522340079273
"ABCA4",5.65784756745007,5.66911453023005,5.66349204443117,4.66477029982158,4.51456932715957,4.47189097799643,4.60756758196125,4.79689241145986,5.19309987012174,4.44314242987539,4.32409616214677,4.51486574677957,4.68468252779305,4.4182959647005,4.33300377417783,4.37643745234125,4.47878079046063,4.33382156501846,4.63017398665067,4.87550501609555,4.84223878666189,4.44972689626474,4.36002009709588,4.42484537453608
"ABCA5",5.37267332069132,5.53695392403757,5.43338198307706,4.8732492993077,4.70632509531707,5.05134270444863,4.88982916876112,5.34773697478441,5.29441170255474,5.32124100176125,4.82503310801535,4.82759978248649,4.93350447851089,4.5847056459225,4.82843141397367,4.58948637749053,4.69718317134212,5.07518055312572,4.93276741668359,4.98582151835842,4.75839766594069,4.79547952313751,4.99651416371898,4.84555988004487
"ABCA6",7.45563346746821,7.73046849394882,7.7204136301784,5.45573949211472,5.73943658727739,4.98554636631025,8.07585664195705,7.94893762451114,7.70847874041203,5.63867046917207,5.54849496584011,5.72217479578003,7.45765249420112,7.66705067269456,7.48874200367677,5.85449877668245,5.59854213833331,5.54328391291136,7.8099540983324,7.77856840417685,7.96208726100289,6.19146575659248,5.43976544980798,5.83251473370307
