genes,aliases
ABRAXAS1,"['Abraxas 1, BRCA1 A complex subunit', 'FLJ13614', 'Abraxas protein', 'Coiled-coil domain-containing protein 98', 'family with sequence similarity 175, member A', 'CCDC98', 'Protein FAM175A']"
ABRAXAS2,"['abraxas 2, BRISC complex subunit', 'Em:AC068896.4', 'abraxas brother 1', 'KIAA0157', 'family with sequence similarity 175, member B', 'Protein FAM175B', 'Abraxas brother protein 1']"
ABT1,"['Activator of basal transcription 1', 'Esf2', 'hABT1', 'TATA-binding protein-binding protein']"
ABTB1,"['Ankyrin repeat and BTB/POZ domain-containing protein 1', 'BPOZ', 'EF1ABP', 'BTBD21', 'PP2259']"
ABTB2,"['Ankyrin repeat and BTB/POZ domain-containing protein 2', 'DKFZP586C1619', 'ABTB2A']"
ACAA1,"['3-ketoacyl-CoA thiolase, peroxisomal', 'peroxisomal 3-oxoacyl-Coenzyme A thiolase', 'PTHIO', 'epididymis secretory sperm binding protein', 'EC 2.3.1.155']"
ACAA2,"['3-ketoacyl-CoA thiolase, mitochondrial', 'DSAEC', 'mitochondrial 3-oxoacyl-Coenzyme A thiolase', 'EC 2.3.1.16']"
ACACA,"['Acetyl-Coenzyme A carboxylase alpha', 'ACACalpha', 'acetyl-CoA carboxylase alpha', 'EC 6.4.1.2']"
ACACB,"['acetyl-Coenzyme A carboxylase beta', 'ACCbeta', 'ACACbeta', 'acetyl-CoA carboxylase beta', 'EC 6.4.1.2']"
ACAD10,"['acyl-Coenzyme A dehydrogenase family, member 10', 'MGC5601', 'ACAD-10', 'EC 1.3.99.-']"
ACAD11,"['acyl-Coenzyme A dehydrogenase family, member 11', 'FLJ12592', 'ACAD-11', 'EC 1.3.8.-']"
ACAD8,"['acyl-Coenzyme A dehydrogenase family, member 8', 'EC 1.3.8.-', 'ARC42', 'IBDH', 'Activator-recruited cofactor 42 kDa component']"
ACAD9,"['acyl-Coenzyme A dehydrogenase family, member 9', 'NPD002', 'MGC14452', 'Complex I assembly factor ACAD9, mitochondrial', 'ACAD-9', 'EC 1.3.99.10']"
ACADL,"['Long-chain specific acyl-CoA dehydrogenase, mitochondrial', 'ACAD4', 'EC 1.3.99.13']"
ACADM,"['Medium-chain specific acyl-CoA dehydrogenase, mitochondrial', 'ACAD1', 'testicular tissue protein Li 7', 'EC 1.3.99.3']"
ACADS,"['Short-chain specific acyl-CoA dehydrogenase, mitochondrial', 'ACAD3', 'epididymis secretory sperm binding protein', 'EC 1.3.99.2']"
ACADSB,"['Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial', '2-MEBCAD', 'EC 1.3.8.5']"
ACADVL,"['Very long-chain specific acyl-CoA dehydrogenase, mitochondrial', 'ACAD6', 'EC 1.3.8.9']"
ACAN,"['large aggregating proteoglycan', 'CSPGCP', 'Chondroitin sulfate proteoglycan core protein 1', 'Aggrecan core protein', 'aggrecan 1', 'MSK16', 'SSOAOD']"
ACAP1,"['Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1', 'KIAA0050', 'centaurin, beta 1']"
ACAP2,"['Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2', 'KIAA0041', 'centaurin, beta 2']"
ACAP3,"['Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3', 'KIAA1716', 'centaurin, beta 5']"
ACAT1,"['Acetyl-CoA acetyltransferase, mitochondrial', 'THIL', 'ACAT', 'T2', 'testicular tissue protein Li 198', 'EC 2.3.1.9']"
ACAT2,"['acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)', 'ACTL', 'EC 2.3.1.9']"
ACBD3,"['Acyl-CoA-binding domain-containing protein 3', 'GOCAP1', 'PAP7', 'Peripheral benzodiazepine receptor-associated protein PAP7', 'Golgi phosphoprotein 1', 'golgi complex associated protein 1, 60kDa']"
ACBD4,"['Acyl-CoA-binding domain-containing protein 4', 'FLJ13322', 'HMFT0700']"
ACBD5,"['membrane-associated diazepam binding inhibitor', 'DKFZp434A2417', 'KIAA1996', 'RDLKD', 'Acyl-CoA-binding domain-containing protein 5']"
ACBD6,"['Acyl-CoA-binding domain-containing protein 6', 'MGC2404']"
ACBD7,"['Acyl-CoA-binding domain-containing protein 7', 'FLJ38219', 'bA455B2.2']"
ACCS,"['1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)', 'PHACS', '1-aminocyclopropane-1-carboxylate synthase-like protein 1']"
ACCSL,"['1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like', 'Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2']"
ACD,"['ACD shelterin complex subunit and telomerase recruitment factor', 'PIP1', 'TINT1', 'Adrenocortical dysplasia protein homolog']"
ACE,"['angiotensin I converting enzyme (peptidyl-dipeptidase A) 1', 'CD143', 'CD143 antigen', 'DCP1', 'Dipeptidyl carboxypeptidase I', 'Kininase II', 'EC 3.4.15.1']"
ACE2,"['angiotensin I converting enzyme (peptidyl-dipeptidase A) 2', 'ACEH', 'Angiotensin-converting enzyme-related carboxypeptidase', 'Metalloprotease MPROT15', 'EC 3.4.17.23']"
ACER1,"['N-acylsphingosine amidohydrolase (alkaline ceramidase) 3', 'Alkaline ceramidase 1', 'ASAH3', 'CTB-180A7.3', 'EC 3.5.1.23']"
ACER2,"['N-acylsphingosine amidohydrolase 3-like', 'FLJ41587', 'Alkaline ceramidase 2', 'ASAH3L', 'Acylsphingosine deacylase 3-like', 'AlkCDase 2', 'EC 3.5.1.23']"
ACER3,"['Alkaline dihydroceramidase SB89', 'FLJ11238', 'APHC', 'PLDECO', 'EC 3.5.1.23']"
ACF,"['Asymmetric crying facies (Cayler cardiofacial syndrome)', 'Apobec-1 complementation factor, isoform CRA_a']"
ACHE,"['acetylcholinesterase (Cartwright blood group)', 'YT', 'EC 3.1.1.7']"
ACIN1,"['Apoptotic chromatin condensation inducer in the nucleus', 'KIAA0670', 'fSAP152', 'functional spliceosome-associated protein 152']"
ACKR1,"['atypical chemokine receptor 1 (Duffy blood group)', 'CCBP1', 'GpFy', 'CD234 antigen', 'Fy glycoprotein', 'DARC/ACKR1', 'WBCQ1', 'Duffy blood group system protein', 'Duffy blood group, atypical chemokine receptor', 'Duffy blood group antigen']"
ACKR2,"['CC-chemokine-binding receptor JAB61', 'CCR10', 'hD6', 'CMKBR9', 'CCBP2']"
ACKR3,"['G-protein coupled receptor RDC1 homolog', 'RDC-1', 'GPR159', 'CMKOR1', 'CXC-R7']"
ACKR4,"['orphan seven-transmembrane receptor, chemokine related', 'C-C CKR-11', 'CCBP2', 'VSHK1', 'CCR10', 'chemokine, cc motif, receptor-like protein 1', 'C-C chemokine receptor type 11']"
ACLY,"['ATP-citrate (pro-S-)-lyase', 'ATP citrate lyase', 'ATPCL', 'EC 2.3.3.8']"
ACMSD,"['2-amino-3-carboxymuconate-6-semialdehyde decarboxylase', 'EC 4.1.1.45']"
ACO1,"['aconitate hydratase, cytoplasmic', 'IRE-BP 1', 'Cytoplasmic aconitate hydratase', 'soluble aconitase', 'HEL60', 'epididymis secretory sperm binding protein', 'Iron regulatory protein 1', 'EC 4.2.1.3']"
