genes,aliases
KCTD18,"['potassium channel tetramerisation domain containing 18', 'FLJ31322', '6530404F10Rik']"
KCTD19,"['potassium channel tetramerisation domain containing 19', 'FLJ40162', 'BTB/POZ domain-containing protein KCTD19']"
KCTD2,"['Potassium channel tetramerization domain-containing protein 2', 'KIAA0176']"
KCTD20,"['Potassium channel tetramerization domain containing 20', 'dJ108K11.3', 'MGC14254', 'chromosome 6 open reading frame 69', 'C6orf69']"
KCTD21,"['Potassium channel tetramerization domain-containing protein 21', 'KCASH2 protein']"
KCTD3,"['potassium channel tetramerisation domain containing 3', 'Renal carcinoma antigen NY-REN-45', 'BTB/POZ domain-containing protein KCTD3']"
KCTD4,"['potassium channel tetramerisation domain containing 4', 'bA321C24.3']"
KCTD5,"['potassium channel tetramerisation domain containing 5', 'FLJ20040']"
KCTD6,"['Potassium channel tetramerization domain-containing protein 6', 'MGC27385', 'KCASH3 protein']"
KCTD7,"['potassium channel tetramerisation domain containing 7', 'FLJ32069', 'EPM3', 'CLN14']"
KCTD8,['potassium channel tetramerisation domain containing 8']
KCTD9,"['potassium channel tetramerisation domain containing 9', 'FLJ20038', 'BTBD27']"
KDELR1,"['KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1', 'ERD2.1', 'HDEL', 'PM23', 'KDEL endoplasmic reticulum protein retention receptor 1', 'Putative MAPK-activating protein PM23']"
KDELR2,"['KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2', 'ERD2-like protein 1', 'ERD-2-like protein', 'ELP-1', 'OI21', 'ER lumen protein-retaining receptor 2', 'KDEL endoplasmic reticulum protein retention receptor 2']"
KDELR3,"['KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3', 'ERD2L3', 'KDEL endoplasmic reticulum protein retention receptor 3']"
KDF1,"['Keratinocyte differentiation factor 1', 'FLJ34633', 'RP11-344H11.3', 'C1orf172']"
KDM1A,"['[histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A', 'KIAA0601', 'BHC110', 'KDM1', 'Flavin-containing amine oxidase domain-containing protein 2', 'AOF2', 'CPRF', 'FAD-binding protein BRAF35-HDAC complex, 110 kDa subunit', 'EC 1.14.99.66']"
KDM1B,"['Lysine-specific histone demethylase 1B', 'FLJ33898', 'dJ298J15.2', 'bA204B7.3', 'LSD2', 'Flavin-containing amine oxidase domain-containing protein 1', 'amine oxidase (flavin containing) domain 1', 'C6orf193', 'EC 1.14.99.66']"
KDM2A,"['JmjC domain-containing histone demethylation protein 1A', 'KIAA1004', 'F-box protein FBL11', 'F-box protein Lilina', 'DKFZP434M1735', 'FBXL11', 'FLJ00115', 'CXXC8', 'JHDM1A', 'F-box and leucine-rich repeat protein 11', 'EC 1.14.11.27']"
KDM2B,"['JmjC domain-containing histone demethylation protein 1B', 'CXXC2', 'F-box protein FBL10', 'JHDM1B', 'Jumonji domain-containing EMSY-interactor methyltransferase motif protein', 'F-box and leucine-rich repeat protein 10', 'NDY1', 'Protein-containing CXXC domain 2', 'EC 1.14.11.27']"
KDM3A,"['JmjC domain-containing histone demethylation protein 2A', 'TSGA', 'KIAA0742', 'JHDM2A', 'JHMD2A', 'Jumonji domain-containing protein 1A', 'EC 1.14.11.65']"
KDM3B,"['JmjC domain-containing histone demethylation protein 2B', 'KIAA1082', 'NET22', 'Jumonji domain-containing protein 1B', '5qNCA', 'C5orf7', 'DIJOS', 'JHDM2B', 'EC 1.14.11.65']"
KDM4A,"['JmjC domain-containing histone demethylation protein 3A', 'KIAA0677', 'JHDM3A', 'tudor domain containing 14A', 'JMJD2A', 'EC 1.14.11.66']"
KDM4B,"['JmjC domain-containing histone demethylation protein 3B', 'KIAA0876', 'tudor domain containing 14B', 'JHDM3B', 'MRD65', 'EC 1.14.11.66']"
KDM4C,"['JmjC domain-containing histone demethylation protein 3C', 'GASC-1 protein', 'KIAA0780', 'tudor domain containing 14C', 'JHDM3C', 'Gene amplified in squamous cell carcinoma 1 protein', 'EC 1.14.11.66']"
KDM4D,"['JmjC domain-containing histone demethylation protein 3D', 'FLJ10251', 'JHDM3D', ""EC 1.14.11');""]"
KDM4E,"['[histone H3]-trimethyl-L-lysine(9) demethylase 4E', 'JMJD2E', 'KDM4DL', 'KDM4D-like protein', 'EC 1.14.11.66']"
KDM5A,"['[histone H3]-trimethyl-L-lysine(4) demethylase 5A', 'Jumonji/ARID domain-containing protein 1A', 'Jumonji, AT rich interactive domain 1A (RBBP2-like)', 'RBBP-2', 'Histone demethylase JARID1A', 'EC 1.14.11.67']"
KDM5B,"['[histone H3]-trimethyl-L-lysine(4) demethylase 5B', 'RBBP2H1A', 'RBP2-H1', 'CT31', 'PPP1R98', 'jumonji, AT rich interactive domain 1B', 'protein phosphatase 1, regulatory subunit 98', 'Jumonji, AT rich interactive domain 1B (RBP2-like)', 'Histone demethylase JARID1B', 'MRT65', 'PLU-1', 'retinoblastoma-binding protein 2, homolog 1A', 'EC 1.14.11.67']"
KDM5C,"['[histone H3]-trimethyl-L-lysine(4) demethylase 5C', 'DXS1272E', 'Protein Xe169', 'Jumonji, AT rich interactive domain 1C (RBP2-like)', 'Histone demethylase JARID1C', 'MRXSCJ', 'Protein SmcX', 'Jumonji/ARID domain-containing protein 1C', 'Smcy homolog, X-linked (mouse)', 'mental retardation, X-linked 13', 'JmjC domain-containing protein SMCX', 'EC 1.14.11.67']"
KDM5D,"['[histone H3]-trimethyl-L-lysine(4) demethylase 5D', 'KIAA0234', 'Jumonji, AT rich interactive domain 1D (RBP2-like)', 'H-Y', 'Histone demethylase JARID1D', 'Protein SmcY', 'selected mouse cDNA on Y, human homolog of', 'epididymis secretory sperm binding protein', 'Histocompatibility Y antigen', 'EC 1.14.11.67']"
KDM6A,"['[histone H3]-trimethyl-L-lysine(27) demethylase 6A', 'bA386N14.2 (ubiquitously transcribed X chromosome tetratricopeptide repeat protein (UTX))', 'KABUK2', 'UTX', 'bA386N14.2', 'EC 1.14.11.68']"
KDM6B,"['jumonji domain containing 3, histone lysine demethylase', 'KIAA0346', 'JMJD3', 'NEDCFSA', 'EC 1.14.11.68']"
KDM7A,"['[histone H3]-dimethyl-L-lysine9 demethylase 7A', 'KIAA1718', 'jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae)', 'jumonji C domain containing histone demethylase 1 homolog D', 'JHDM1D', 'KDM7', 'EC 1.14.11.65']"
KDM8,"['lysine (K)-specific demethylase 8', 'FLJ13798', 'Bifunctional peptidase and arginyl-hydroxylase JMJD5', 'Jumonji C domain-containing protein 5', 'JMJD5', 'EC 1.14.11.73']"
KDR,"['kinase insert domain receptor (a type III receptor tyrosine kinase)', 'FLK-1', 'soluble VEGFR2', 'CD309 antigen', 'Protein-tyrosine kinase receptor flk-1', 'EC 2.7.10.1']"
KDSR,"['short chain dehydrogenase/reductase family 35C, member 1', 'DHSR', 'SDR35C1', 'follicular lymphoma variant translocation 1', 'EKVP4', 'FVT-1', '3-ketodihydrosphingosine reductase', 'EC 1.1.1.102']"
KEAP1,"['Kelch-like ECH-associated protein 1', 'KIAA0132', 'MGC10630', 'MGC1114', 'INRF2', 'Kelch-like protein 19', 'KEAP1 delta C', 'Cytosolic inhibitor of Nrf2']"
KEL,"['Kell metallo-endopeptidase (Kell blood group)', 'EC 3.4.24.-', 'CD238 antigen', 'Kell blood group, metallo-endopeptidase', 'truncated Kell blood group antigen']"
KERA,"['keratocan proteoglycan', 'SLRR2B', 'Keratan sulfate proteoglycan keratocan', 'CNA2', 'Keratocan']"
KHDC1,"['KH homology domain-containing protein 1', 'Em:AC019205.8', 'bA257K9.4', 'NDG1', 'C6orf147', 'KHDC1L', 'Putative KHDC1-like protein']"
KHDC1L,"['KH homology domain containing 1-like', 'RP11-257K9.7', 'Putative KHDC1-like protein']"
KHDC3L,"['KH domain containing 3 like, subcortical maternal complex member', 'ECAT1', 'ES cell-associated transcript 1 protein', 'chromosome 6 open reading frame 221', 'C6orf221', 'HYDM2']"
KHDC4,"['KH domain containing 4, pre-mRNA splicing factor', 'protein BLOM7', 'SNORA80EHG', 'KIAA0907', 'Brings lots of money 7']"
KHDRBS1,"['KH domain-containing, RNA-binding, signal transduction-associated protein 1', 'SAM68', 'p62', 'FLJ34027', 'GAP-associated tyrosine phosphoprotein p62 (Sam68)']"
KHDRBS2,"['KH domain-containing, RNA-binding, signal transduction-associated protein 2', 'hSLM-1', 'MGC26664', 'Sam68-like mammalian protein 1']"
KHDRBS3,"['KH domain-containing, RNA-binding, signal transduction-associated protein 3', 'T-STAR', 'SLM-2', 'KH domain containing, RNA binding, signal transduction associated 3', 'Sam68-like phosphotyrosine protein, T-STAR']"
KHK,"['ketohexokinase (fructokinase)', 'testicular tissue protein Li 102', 'EC 2.7.1.3']"
KHNYN,"['KH and NYN domain-containing protein', 'KIAA0323', 'Protein KHNYN']"
KHSRP,"['epididymis secretory sperm binding protein', 'KSRP', 'FUBP2', 'p75']"
KIAA0040,"['KIAA0040', 'Uncharacterized protein KIAA0040']"
KIAA0100,"['Protein KIAA0100', 'DKFZp686M0843', 'MGC111488', 'BCOX1', 'FMP27', 'Breast cancer-overexpressed gene 1 protein', 'cancer/testis antigen 101', 'Antigen MLAA-22']"
KIAA0232,"['KIAA0232', 'Uncharacterized protein KIAA0232']"
KIAA0319,"['KIAA0319', 'NMIG', 'neuronal migration', 'AAV receptor', 'DYLX2', 'Dyslexia-associated protein KIAA0319']"
KIAA0319L,"['Dyslexia-associated protein KIAA0319-like protein', 'KIAA0319 like', 'AAV receptor', 'Adeno-associated virus receptor', 'AAV receptor like', 'polycystic kidney disease 1-related']"
KIAA0408,"['KIAA0408', 'Uncharacterized protein KIAA0408']"
KIAA0513,"['KIAA0513', 'Uncharacterized protein KIAA0513']"
KIAA0586,"['KIAA0586', 'Protein TALPID3', 'JBTS23', 'SRTD14']"
KIAA0753,"['KIAA0753', 'OFIP', 'Protein moonraker', 'OFD1- and FOPNL-interacting protein', 'JBTS38', 'SRTD21']"
KIAA0825,"['KIAA0825', 'DKFZp686F0372', 'MGC34713', 'chromosome 5 open reading frame 36', 'C5orf36', 'Uncharacterized protein KIAA0825']"
KIAA0895,"['KIAA0895', 'Uncharacterized protein KIAA0895']"
KIAA0895L,"['Uncharacterized protein KIAA0895-like', 'LOC653319']"
KIAA0930,"['KIAA0930', 'bK268H5.C22.1', 'chromosome 22 open reading frame 9', 'C22orf9', 'LSC3', 'Uncharacterized protein KIAA0930']"
KIAA1107,"['KIAA1107', 'AP2-interacting clathrin-endocytosis protein']"
KIAA1109,"['Transmembrane protein KIAA1109', 'FLJ21404', 'KIAA1109', 'Tweek', 'Fragile site-associated protein', 'ALKKUCS']"
KIAA1143,"['KIAA1143', 'Uncharacterized protein KIAA1143']"
KIAA1191,"['KIAA1191', 'FLJ21022', 'Putative monooxygenase p33MONOX', 'P33MONOX', 'Brain-derived rescue factor p60MONOX', 'flavine monooxygenase motif-containing protein of 33 kDa', 'EC 1.-.-.-']"
KIAA1210,['Acrosomal protein KIAA1210']
KIAA1217,"['KIAA1217', 'DKFZP761L0424', 'sickle tail', 'ETL4', 'Sickle tail protein homolog', 'likely orthologue of Mus musculus enhancer trap locus 4']"
KIAA1328,"['KIAA1328', 'Protein hinderin']"
KIAA1522,"['KIAA1522', 'Uncharacterized protein KIAA1522']"
KIAA1549,"['UPF0606 protein KIAA1549', 'RP86']"
KIAA1549L,"['UPF0606 protein KIAA1549L', 'G2', 'MGC34830', 'chromosome 11 open reading frame 41', 'UPF0606 protein C11orf41', 'C11orf41', 'uncharacterized protein C11orf69', 'chromosome 11 open reading frame 69']"
KIAA1586,"['E3 SUMO-protein ligase KIAA1586', 'E3 SUMO-protein transferase KIAA1586', 'EC 2.3.2.-']"
KIAA1614,"['KIAA1614', 'Uncharacterized protein KIAA1614']"
KIAA1671,"['KIAA1671', 'Uncharacterized protein KIAA1671', 'CTA-221G9.5']"
KIAA1755,"['KIAA1755', 'RP5-1054A22.3', 'Uncharacterized protein KIAA1755']"
KIAA1958,"['KIAA1958', 'FLJ39294', 'Uncharacterized protein KIAA1958']"
KIAA2012,"['KIAA2012', 'Uncharacterized protein KIAA2012']"
KIAA2013,"['KIAA2013', 'MGC33867', 'RP5-1077B9.1', 'Uncharacterized protein KIAA2013']"
KIAA2026,"['KIAA2026', 'FLJ20375', 'Uncharacterized protein KIAA2026']"
KICS2,"['KICSTOR complex protein C12orf66', 'FLJ32549', 'chromosome 12 open reading frame 66', 'UPF0536 protein C12orf66']"
KIDINS220,"['Ankyrin repeat-rich membrane-spanning protein', 'Kinase D-interacting substrate of 220 kDa', 'SINO', 'VENARG', 'KIAA1250']"
KIF11,"['Kinesin-like spindle protein HKSP', 'EG5', 'KNSL1', 'TRIP-5', 'kinesin-like 1', 'MCLMR', 'Thyroid receptor-interacting protein 5']"
KIF12,"['Kinesin-like protein KIF12', 'PFIC8']"
KIF13A,"['Kinesin-like protein KIF13A', 'bA500C11.2', 'RBKIN', 'homolog of mouse KIF13A mannose-6-phosphate receptor transporter']"
KIF13B,"['Kinesin-like protein KIF13B', 'GAKIN', 'KIAA0639', 'guanylate kinase associated kinesin']"
KIF14,"['Kinesin-like protein KIF14', 'KIAA0042', 'MCPH20', 'MKS12', 'epididymis secretory sperm binding protein']"
KIF15,"['Kinesin-like protein KIF15', 'HKLP2', 'NY-BR-62', 'kinesin-like 7', 'Serologically defined breast cancer antigen NY-BR-62']"
KIF16B,"['Kinesin-like protein KIF16B', 'FLJ20135', 'dJ971B4.1', 'Sorting nexin-23', 'chromosome 20 open reading frame 23', 'KISC20ORF', 'testis secretory sperm-binding protein Li 201a', 'KIAA1590']"
KIF17,"['Kinesin-like protein KIF17', 'KIAA1405', 'KIF17B', 'OSM-3', 'KLP-2', 'KIF3-related motor protein']"
KIF18A,"['Kinesin-like protein KIF18A', 'DKFZP434G2226', 'PPP1R99', 'protein phosphatase 1, regulatory subunit 99']"
KIF18B,['Kinesin-like protein KIF18B']
KIF19,"['Kinesin-like protein KIF19', 'FLJ37300', 'KIF19A']"
KIF1A,"['kinesin, heavy chain, member 1A, homolog of mouse', 'hUnc-104', 'Axonal transporter of synaptic vesicles', 'chromosome 2 open reading frame 20', 'spastic paraplegia 30 (autosomal recessive)', 'ATSV', 'C2orf20', 'MRD9', 'NESCAVS', 'SPG30', 'Unc-104- and KIF1A-related protein', 'Microtubule-based motor KIF1A']"
KIF1B,"['kinesin superfamily protein KIF1B', 'KIAA0591', 'KLP', 'HMSNII', 'Charcot-Marie-Tooth neuropathy type II', 'CMT2A1', 'NBLST1']"
KIF1C,"['Kinesin-like protein KIF1C', 'SATX2', 'SPG58', 'spastic ataxia 2 (autosomal recessive)', 'LTXS1', 'KIAA0706']"
KIF20A,"['Mitotic kinesin-like protein 2', 'MKLP2', 'RAB6 interacting, kinesin-like (rabkinesin6)', 'Rabkinesin-6', 'RCM6', 'GG10_2']"
KIF20B,"['Kinesin-related motor interacting with PIN1', 'MPHOSPH1', 'CT90', 'Kinesin family member 20B', 'mitotic kinesin-related protein', 'M-phase phosphoprotein 1', 'EC 6.3.5.5']"
KIF21A,"['Kinesin-like protein KIF21A', 'FLJ20052', 'fibrosis of the extraocular muscles, congenital, 1', 'CFEOM1', 'Renal carcinoma antigen NY-REN-62', 'KIAA1708', 'KIF2']"
KIF21B,"['Kinesin-like protein KIF21B', 'DKFZP434J212', 'KIAA0449']"
KIF22,"['Kinesin-like DNA-binding protein', 'OBP-1', 'kinesin-like DNA-binding protein pseudogene', 'A-328A3.2', 'kinesin-like 4', 'SEMDJL2', 'origin of plasmid DNA replication-binding protein']"
KIF23,"['kinesin-like 5 (mitotic kinesin-like protein 1)', 'MKLP-1', 'CHO1', 'KNSL5']"
KIF24,"['Kinesin-like protein KIF24', 'bA571F15.4', 'FLJ10933', 'chromosome 9 open reading frame 48', 'C9orf48']"
KIF25,"['Kinesin-like protein KIF25', 'kinesin-like 3']"
KIF26A,"['Kinesin-like protein KIF26A', 'KIAA1236', 'DKFZP434N178']"
KIF26B,"['Kinesin-like protein KIF26B', 'FLJ10157']"
KIF27,"['Kinesin-like protein KIF27', 'DKFZp434D0917']"
KIF2A,"['kinesin heavy chain member 2A', 'KIF2', 'CDCBM3', 'Kinesin-2']"
KIF2B,"['Kinesin-like protein KIF2B', 'testis tissue sperm-binding protein Li 82P']"
KIF2C,"['kinesin-like 6 (mitotic centromere-associated kinesin)', 'MCAK', 'CT139', 'KNSL6', 'testis tissue sperm-binding protein Li 68n']"
KIF3A,"['Kinesin-like protein KIF3A', 'FLA10', 'KLP-20', 'Microtubule plus end-directed kinesin motor 3A', 'KIF3']"
KIF3B,"['Kinesin-like protein KIF3B', 'KIAA0359', 'FLA8', 'KLP-11', 'HH0048', 'RP89', 'Microtubule plus end-directed kinesin motor 3B']"
KIF3C,['Kinesin-like protein KIF3C']
KIF4A,"['kinesin family member 4A', 'KIF4-G1', 'HSA271784', 'FLJ12530', 'XLID100', 'Chromosome-associated kinesin KIF4A']"
KIF4B,"['kinesin family member 4B', 'Chromosome-associated kinesin KIF4B']"
KIF5A,"['Kinesin heavy chain neuron-specific 1', 'D12S1889', 'NKHC1', 'MY050', 'spastic paraplegia 10 (autosomal dominant)', 'ALS25', 'NEIMY', 'SPG10']"
KIF5B,"['Ubiquitous kinesin heavy chain', 'KINH', 'Conventional kinesin heavy chain', 'HEL-S-61', 'epididymis secretory protein Li 61', 'kinesin family member 5B']"
KIF5C,"['Kinesin heavy chain neuron-specific 2', 'NKHC-2', 'CDCBM2', 'KINN', 'KIAA0531']"
KIF6,"['Kinesin-like protein KIF6', 'dJ1043E3.1', 'MGC33317', 'DKFZp451I2418', 'chromosome 6 open reading frame 102', 'C6orf102']"
KIF7,"['Kinesin-like protein KIF7', 'JBTS12', 'AGBK', 'EQYK340']"
KIF9,"['Kinesin-like protein KIF9', 'MGC104186']"
KIFAP3,"['Kinesin-associated protein 3', 'KAP-1', 'KIF3AP', 'KAP-3', 'Smg GDS-associated protein', 'dJ190I16.1', 'small G protein GDP dissociation stimulator']"
KIFBP,"['Kinesin family binding protein', 'DKFZP586B0923', 'TTC20', 'KIF1BP', 'KIAA1279', 'KIF1 binding protein']"
KIFC1,"['Kinesin-related protein HSET', 'HSET', 'kinesin-like 2']"
KIFC2,['Kinesin-like protein KIFC2']
KIFC3,['Kinesin-like protein KIFC3']
KIN,"['KIN, antigenic determinant of recA protein homolog (mouse)', 'KIN17', 'Rts2', 'BTCD', 'KIN, antigenic determinant of recA protein homolog', 'Kin17 DNA and RNA binding protein']"
KIR2DL1,"['killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1', 'cl-42', 'NKAT-1', '47.11', 'p58.1', 'CD158a antigen', 'KIR2DL1/3DL2', 'KIR2DL protein', 'CD158 antigen-like family member A', 'p58 natural killer cell receptor clones CL-42/47.11', 'Killer cell immunoglobulin-like receptor 2DL1']"
KIR2DL2,"['killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2', 'cl-43', 'NKAT-6', 'CD158b1 antigen', 'p58.2', 'CD158 antigen-like family member B1', 'Killer cell immunoglobulin-like receptor 2DL2', 'p58 natural killer cell receptor clone CL-43']"
KIR2DL3,"['killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3', 'cl-6', 'NKAT-2', 'CD158b', 'CD158b2 antigen', 'GL183', 'KIR-023GB', 'CD158 antigen-like family member B2', 'natural killer cell inhibitory receptor KIR2DL3', 'Killer cell immunoglobulin-like receptor 2DL3']"
KIR2DL4,"['killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4', 'KIR-103AS', '15.212', 'CD158d antigen', 'G9P', 'KIR2DL4_00201 protein', 'KIR2DL4_00201', 'Killer cell immunoglobulin-like receptor 2DL4', 'CD158 antigen-like family member D']"
KIR2DL5A,"['killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A', 'KIR2DL5.1', 'CD158f1 antigen']"
KIR2DL5B,"['killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B', 'KIR2DL5.2', 'CD158 antigen-like family member F2', 'Killer cell immunoglobulin-like receptor 2DL5B', 'CD158f2 antigen']"
KIR2DS1,"['killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1', 'EB6ActII', 'CD158h antigen', 'p50.1', 'CD158 antigen-like family member H', 'killer cell immunoglobulin-like receptor KIRDS1']"
KIR2DS2,"['killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2', 'cl-49', 'NKAT-5', 'NK receptor 183 ActI', 'CD158j antigen', 'KIR-2DS2', 'CD158 antigen-like family member J', 'KIR2DS2 Killer-cell Immunoglobulin-like Receptor', 'p58 natural killer cell receptor clone CL-49', 'killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2']"
KIR2DS3,"['killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3', 'NKAT-7', 'Killer cell immunoglobulin-like receptor 2DS3', 'killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3', 'natural killer cell inhibitory receptor']"
