"","GSM468603.CEL","GSM468604.CEL","GSM468605.CEL","GSM468606.CEL","GSM468607.CEL","GSM468608.CEL","GSM468609.CEL","GSM468610.CEL","GSM468611.CEL","GSM468612.CEL","GSM468613.CEL","GSM468614.CEL","GSM468615.CEL","GSM468616.CEL","GSM468617.CEL","GSM468618.CEL","GSM468619.CEL","GSM468620.CEL","GSM468621.CEL","GSM468622.CEL","GSM468623.CEL"
"KCNE3",4.44770601705938,4.82490893092508,4.98408315619886,4.62012496534737,5.32413406133734,5.02351705316523,4.67754696371779,4.64608540567818,4.50217501810094,5.33457819028518,4.21458878705383,4.73103554189178,4.43223198600266,4.50573838700835,4.56800456884552,4.75297374070233,4.40759230149651,4.68932313151416,4.89303373472594,4.80561313286161,4.73975510251277
"ZBTB33",9.29794491618238,9.44376756965606,9.21499113960247,8.68385784036272,9.13996838982891,8.59233770616271,9.13999653055021,9.14601736276489,9.03664324757571,9.11992360327842,8.38561140368435,8.20768246164376,9.26999331004323,9.46317010649618,9.16321051187282,9.13706848178786,8.70596213863534,8.65327286097081,9.37380137660055,9.11526882412182,9.445359891118
"TANK",7.10055673589431,7.10055673589431,7.47381745491726,6.87870098934707,7.46605384052064,6.39031778208047,7.61261895653624,7.39071362903907,7.55298187479028,7.15567431492119,7.12805475278697,6.93383864903482,7.18197006182845,6.77825804247281,7.39495609108187,6.90558754433695,6.79515608895672,6.36411124010599,7.26790580369121,7.10055673589431,6.82204481599664
"ZSCAN30",6.91321698491881,6.43911150900503,6.79320167947984,6.53026471559124,6.07430943433296,6.14162234567722,6.59526765927089,6.26769692710763,6.3859105774388,5.64381507732195,6.58545076177368,6.05176336727301,6.49199881850713,5.68241863485082,6.55619167992738,5.70969769007295,6.52264499788571,5.92214305682304,6.48499681560226,6.34788214245046,6.214876488478
"SRA1",7.73054950772785,8.18609667948443,7.96059486937609,7.71291095420055,8.61181313394657,8.17421271161551,7.81735329582748,8.12150450892703,7.8546833490715,8.76239762516832,7.71955284895331,8.25394326036759,7.88123702820144,8.58672912164018,8.30563597707246,8.87109670050967,8.08293852213043,8.68416234769255,7.77102496604398,7.9901389263278,8.07585125571537
"TMEM170B",5.93434156719177,5.84992313119598,5.81273143743028,7.20943941558317,5.40332894404278,7.38251149631375,5.8377062107734,5.82829355457671,5.58423430488569,5.72207969868703,6.71480688345322,7.43454022025357,5.16840214534647,5.41232253162568,5.11336142883389,4.81564889772882,6.45618652831968,6.60023687337999,6.21304345684953,5.65620620928912,5.22171525908209
"C8orf88",4.64364981673289,4.93601724190773,4.44394673660254,4.44368433974902,4.34420313628626,5.00633001707614,4.69288717836783,4.59448324611158,4.08340277003502,4.23358457975989,4.29398012458448,5.20648987773493,3.95750656978032,4.360470621022,4.70556254701973,4.34240353750677,4.24491597115184,4.57788539049359,4.68932313151416,4.40641576166368,4.21384507910308
"TRAPPC3L",3.34721303419886,3.44660146802913,3.15256136899199,3.63460588984531,3.38074769762543,3.33716792663412,3.47456571845,3.37759364293381,3.38074769762543,3.36174335955329,3.37583693775559,3.59170917176401,3.35087258544377,3.43715622865743,3.24456557637377,3.36326714887595,3.66106962576957,3.47006438293946,3.46354050257038,3.38074769762543,3.38074769762543
"OST4",11.806077735999,11.9257828768109,11.7533568292238,11.7038181536042,11.9247418329693,11.7588722403448,11.7951900594859,11.7814343877264,11.6715317147228,11.6944376891086,11.5724968905905,11.6857716385087,11.9428596430017,11.8655509749488,11.8664723874071,11.8287550495562,11.8203868632655,11.7536829650432,11.8626662043286,11.738358490956,11.7334960962685
"SMIM27",6.9194504978848,7.01562280818721,6.81732588290295,7.06101447956049,6.95031231145629,7.30215909762908,7.04347068014727,6.94126078022681,6.79000043447753,6.89035112795826,7.07597172201125,7.31011697221347,6.78653299147847,6.96516687663206,6.81910131944757,6.91144353755159,7.05034748123579,7.29247774903323,6.66527307351771,6.86868044215202,6.6582300953082
