"","GSM926651_Boeckel_K2.CEL","GSM926652_Boeckel_K3.CEL","GSM926653_Boeckel_K4.CEL","GSM926654_Boeckel_S2.CEL","GSM926655_Boeckel_S3.CEL","GSM926656_Boeckel_S4.CEL","GSM926657_Boeckel_K2.CEL","GSM926658_Boeckel_K3.CEL","GSM926659_Boeckel_K4.CEL","GSM926660_Boeckel_S2.CEL","GSM926661_Boeckel_S3.CEL","GSM926662_Boeckel_S4.CEL"
"OLFML3",7.50331352022191,7.60861384102211,7.73590984922397,7.59044928545121,7.60942256948283,7.45738353516335,7.50331352022191,7.60861384102211,7.73590984922397,7.59044928545121,7.60942256948283,7.45738353516335
"MRPS22",7.47247748991703,7.35540909046892,7.43423787486331,7.43601110283904,7.4540329971715,7.29466681933998,7.47247748991703,7.35540909046892,7.43423787486331,7.43601110283904,7.4540329971715,7.29466681933998
"EMSY",10.3957278237777,10.2353129505622,10.4824202275063,10.1506798104771,10.1203349982292,10.2518884768124,10.3957278237777,10.2353129505622,10.4824202275063,10.1506798104771,10.1203349982292,10.2518884768124
"MFF",11.2087193620223,11.2198683072463,11.4535886604684,11.218184854859,11.1184327727929,11.2833056989125,11.2087193620223,11.2198683072463,11.4535886604684,11.218184854859,11.1184327727929,11.2833056989125
"SDR39U1",8.33741953185203,8.40424803104191,8.37830208331965,8.27306827622593,8.31026909607095,8.30273048868819,8.33741953185203,8.40424803104191,8.37830208331965,8.27306827622593,8.31026909607095,8.30273048868819
"XAB2",10.1367552268934,10.1598498684364,9.97985711912952,9.83026335956702,9.76208496741281,9.82621719975883,10.1367552268934,10.1598498684364,9.97985711912952,9.83026335956702,9.76208496741281,9.82621719975883
"PSMB7",11.9494452006045,12.0639974277967,12.0182482927286,12.0646868643308,12.0137348800912,12.0874645851463,11.9494452006045,12.0639974277967,12.0182482927286,12.0646868643308,12.0137348800912,12.0874645851463
"SMYD2",9.47501355464703,9.31790945955117,9.3975719209106,9.71444252817709,9.38900059975887,9.52623301960895,9.47501355464703,9.31790945955117,9.3975719209106,9.71444252817709,9.38900059975887,9.52623301960895
"C5orf15",8.89947788469198,8.96388404282675,8.95805471094095,9.29913678119681,9.52932793189187,9.20282033869065,8.89947788469198,8.96388404282675,8.95805471094095,9.29913678119681,9.52932793189187,9.20282033869065
"PRTFDC1",9.0152027605277,9.15584340531324,9.24515538180238,9.13694025106619,8.92179198231327,8.62871921269803,9.0152027605277,9.15584340531324,9.24515538180238,9.13694025106619,8.92179198231327,8.62871921269803
"NT5M",8.18409843452034,8.17188594569249,8.06690274578804,8.03814100622214,8.03103500113264,8.11426612780297,8.18409843452034,8.17188594569249,8.06690274578804,8.03814100622214,8.03103500113264,8.11426612780297
"NIT2",11.0379574852294,10.8835116128891,10.8454475745141,11.0279893703967,10.9802296781063,10.8939926828483,11.0379574852294,10.8835116128891,10.8454475745141,11.0279893703967,10.9802296781063,10.8939926828483
"MEPE",4.76503196833304,4.87552853710729,4.59433832752173,4.6910715851841,4.51364217560842,4.59732788829966,4.76503196833304,4.87552853710729,4.59433832752173,4.6910715851841,4.51364217560842,4.59732788829966
"LHX9",7.57981923918408,7.69592747100827,7.37155041878738,7.65909420048594,7.57582680269727,7.64131960031197,7.57981923918408,7.69592747100827,7.37155041878738,7.65909420048594,7.57582680269727,7.64131960031197
"OTUD7B",8.16932460286924,8.3207543415224,8.23089819400708,8.17966184890246,8.25618375494758,8.15511894114803,8.16932460286924,8.3207543415224,8.23089819400708,8.17966184890246,8.25618375494758,8.15511894114803
"PSMB8",7.53215569336067,7.68189457298873,7.59012102036887,7.46899515325467,8.07782589122423,7.498082710692,7.53215569336067,7.68189457298873,7.59012102036887,7.46899515325467,8.07782589122423,7.498082710692
"SHD",7.31317484456789,7.40609267302215,6.97328960915562,7.13729573298527,7.0921479966954,7.13163929344017,7.31317484456789,7.40609267302215,6.97328960915562,7.13729573298527,7.0921479966954,7.13163929344017
"RGMA",7.90816235177942,8.11843842579614,7.72298601338685,7.85335657413789,7.75961321553723,7.77541312853471,7.90816235177942,8.11843842579614,7.72298601338685,7.85335657413789,7.75961321553723,7.77541312853471
"WDR93",6.06438136396373,6.12044640417988,5.86956708597971,5.89684160581305,5.95358432370695,5.96902052421451,6.06438136396373,6.12044640417988,5.86956708597971,5.89684160581305,5.95358432370695,5.96902052421451
"PARP6",10.0315783123812,10.2191300652913,10.4881436564654,9.70873034437338,10.0595833123411,9.94586900884661,10.0315783123812,10.2191300652913,10.4881436564654,9.70873034437338,10.0595833123411,9.94586900884661
"C14orf132",7.75618201197379,7.95507863736459,7.77740427864832,7.61138616761297,7.62414026924499,7.63252226200464,7.75618201197379,7.95507863736459,7.77740427864832,7.61138616761297,7.62414026924499,7.63252226200464
"PYY",8.50799673817335,8.54235308530221,8.40326455204753,8.50870795561185,8.42445727894639,8.39081214925603,8.50799673817335,8.54235308530221,8.40326455204753,8.50870795561185,8.42445727894639,8.39081214925603
"PRDM8",7.48293744498866,7.58522257569961,7.36470535053522,7.51866510455468,7.45251169378328,7.50290229676062,7.48293744498866,7.58522257569961,7.36470535053522,7.51866510455468,7.45251169378328,7.50290229676062
"PRDM10",8.95105968165346,8.86852978219487,9.08936745730125,8.91233360961438,8.80751406888942,9.08085154380171,8.95105968165346,8.86852978219487,9.08936745730125,8.91233360961438,8.80751406888942,9.08085154380171
"POGLUT1",8.51699187309949,8.50831629288372,8.67177974224237,8.43182271566898,8.56154213262397,8.45355917138844,8.51699187309949,8.50831629288372,8.67177974224237,8.43182271566898,8.56154213262397,8.45355917138844
"PSMG2",11.3744443833389,11.5360972648211,11.4935445143135,11.569778993983,11.4865009139981,11.5314875096856,11.3744443833389,11.5360972648211,11.4935445143135,11.569778993983,11.4865009139981,11.5314875096856
"ADPRM",7.13665598915159,7.17796002587374,7.28195746078901,7.29472703264414,7.218004600783,7.23107837188118,7.13665598915159,7.17796002587374,7.28195746078901,7.29472703264414,7.218004600783,7.23107837188118
"DTWD1",5.45370065832653,5.03496568603697,5.9413342724754,5.7100904878864,5.82537383894163,5.73375617627109,5.45370065832653,5.03496568603697,5.9413342724754,5.7100904878864,5.82537383894163,5.73375617627109
"BBX",9.9871123021055,10.161541890525,10.2917269247658,9.8725466073159,10.2883824843263,10.1540201609777,9.9871123021055,10.161541890525,10.2917269247658,9.8725466073159,10.2883824843263,10.1540201609777
"PSMB10",8.22941699330904,8.29769419488507,7.93147674865951,7.97486453238228,8.05979447723064,8.14517793032867,8.22941699330904,8.29769419488507,7.93147674865951,7.97486453238228,8.05979447723064,8.14517793032867
"CDC42SE2",10.5393072935658,10.6371068381793,10.8763272032433,10.4464106713647,10.3177956603802,10.4632580565909,10.5393072935658,10.6371068381793,10.8763272032433,10.4464106713647,10.3177956603802,10.4632580565909
"KIF15",8.98342265996452,8.18285571629877,8.79546564466488,8.82020324718178,8.29827724531147,8.41574501420397,8.98342265996452,8.18285571629877,8.79546564466488,8.82020324718178,8.29827724531147,8.41574501420397
"TOMM22",10.3498922489,10.3147646573456,10.384372015538,10.3481920539148,9.98609485672038,10.2317115476445,10.3498922489,10.3147646573456,10.384372015538,10.3481920539148,9.98609485672038,10.2317115476445
"CHPT1",9.90768001456927,9.98739806356881,10.047320887657,10.2304066759729,10.1984448035759,10.3181187832769,9.90768001456927,9.98739806356881,10.047320887657,10.2304066759729,10.1984448035759,10.3181187832769
