"","HUVEC_scr_siRNA_1.CEL","HUVEC_scr_siRNA_2.CEL","HUVEC_scr_siRNA_3.CEL","HUVEC_scr_siRNA_DLL4_1.CEL","HUVEC_scr_siRNA_DLL4_2.CEL","HUVEC_scr_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_1.CEL","HUVEC_USP10_siRNA_2.CEL","HUVEC_USP10_siRNA_3.CEL","HUVEC_USP10_siRNA_DLL4_1.CEL","HUVEC_USP10_siRNA_DLL4_2.CEL","HUVEC_USP10_siRNA_DLL4_3.CEL"
"F5",2.63711568881621,2.7778746321667,2.89399260315884,2.92060209687834,2.90523839356681,2.53824921928711,2.87170718267837,2.82284760839459,3.10739826156676,2.997656776064,3.22531846781731,2.78967146932021
"F7",4.6362274549632,4.7253901401255,4.7846963487802,5.05768405637078,4.63659098074604,4.73780515391614,4.54934396984981,4.49357229898116,4.8493164783386,5.17235665406421,4.93787240835887,4.78885062505928
"F8",4.29570159589511,3.84101081730815,3.80172317473321,3.98409315116127,3.98752756682777,3.84459253695206,4.2136622487238,4.00169622725301,3.9441803774517,4.23879964613325,4.11072338392567,3.98597246872603
"F9",3.47003144460375,3.01410979500994,3.16329347371243,2.59349569029225,3.28382695462471,3.35540689484482,2.43628051754807,3.25561647486168,2.66222367344857,3.0526625788823,3.00958894097839,2.67512284367712
"F10",5.46139685048437,5.46535244497821,5.3577500934498,5.20331024405567,5.34960885212455,5.38709838641079,5.02524242762559,5.11871014179096,5.33208143767013,5.39172879918219,5.0978115114188,5.24171702449053
"ALDH1A1",10.2530535793142,10.4634764170159,10.4331319170813,10.8815095094803,10.961096112029,10.8703396073341,10.6572009459731,10.8498679590772,10.6759488087662,10.9776178925778,11.0546755360854,11.0199948856081
"F11",3.3710741292991,3.48828927568599,3.54573332985271,3.41588468753962,3.29522545262488,3.42158308281786,3.38880081821005,3.47718232232197,3.30701353152928,3.37633072954098,3.58943242217278,3.2987254902424
"F12",5.62742813570018,5.71424713117596,5.65006675482348,5.64997552134824,5.55323439263566,5.60591636725728,5.76397229921515,5.46318034222674,5.45712796251739,5.65811289500466,5.83558788198936,5.47647632296024
"F13A1",2.88408452819064,3.00179593925296,3.06264766326353,2.88773694120811,3.29479628982582,2.9728663732624,3.02831588407523,2.98460513269169,2.90517199571728,3.09259986143224,2.73950380633636,2.9728663732624
"F13B",2.56459013208205,2.80661306376345,2.195076654351,2.79955385930076,2.57346866062466,2.58450978628646,2.54131622402493,2.47607491976508,2.34788645501709,2.42695972775034,2.53013077234625,2.50999089366336
"FAAH",4.50323285938712,5.0130695722308,4.80626338675602,4.82317344492317,4.84679866117792,4.95612498767249,4.78159623798213,4.65926298181575,4.88793928264485,5.03877524828785,4.9770759116949,5.13143718235526
"FABP4",8.13717447406461,8.13876916012478,8.28896865953609,10.6428793055168,10.8335695691155,10.8106527162589,8.15392258044444,8.69440111573501,8.2840169621887,9.89877345215625,9.8068200978251,9.93323070994499
"FABP1",3.22466349394272,3.72987370944974,3.39278431822877,3.44889455622028,3.25327262457628,3.44381533977532,3.40801335980429,3.22933422076262,3.10882268341803,3.28033856666223,3.21197250101372,3.60329245027066
"FABP2",1.99138970161485,2.20244718863278,2.20059194273478,2.36178143052964,2.36798404104362,2.22748240051483,2.04450360316801,2.24037499920553,2.24286903981395,2.25816492380553,2.45579412435396,2.36434700013971
"ALDH2",9.05082026556269,8.91160671875953,8.87787034168814,9.75255907564536,9.75061696172331,9.60363006914983,9.19011676013063,9.28442872672848,9.02735340923198,9.484796043827,9.59621489045578,9.49399348925144
"FABP3",2.99616089820551,3.23459545678315,3.23042323506667,3.65889237505688,3.17305134070785,3.02337186066559,3.07374347940451,3.29720385028906,3.2732287870616,3.14228948430674,3.0405850779264,3.13758765039715
"FABP5",6.3092329042032,6.3086101399833,6.7480559614547,6.73975264074693,6.61809586094976,6.50907412416162,6.13408582499668,6.65207386538746,6.30682971973309,6.33102675519083,6.53240790975365,6.50500422383696
"FABP6",5.20001994270361,5.24770433011651,5.25009629359022,5.31707690507708,5.26399240359711,5.29360810999391,5.20980744574552,5.11971600137166,5.22037035303696,5.27228461035329,5.31667521427531,5.33376437788178
"FABP7",2.60708416620299,2.76971988170128,2.56456492325126,2.70264874099591,2.71395341273939,2.69593028948568,3.00140973494197,2.87971124377204,2.78651109750903,2.5256024119138,2.9884363444149,2.84795484270427
"FANCA",7.68829905787494,7.57018182921197,7.50916452608543,6.82463434575265,6.89009771090302,6.88373089149046,7.45526073420284,7.27582408189078,7.60643514027139,6.91987813137253,7.05107754369326,7.13355599962586
"FANCC",7.23512339581723,7.15114922553668,7.07061179789818,7.16146354864783,7.12610444512473,6.84794444452528,7.38923131750049,7.24372248539827,7.22828243415686,7.14175993329417,7.01651552710998,7.16119414170523
"FANCD2",8.03656504862404,8.04136697805791,8.1943302714533,7.66989953446312,7.66672912073953,7.70481315956004,7.82975640101046,7.77468944377427,8.07816228259504,7.57343298327942,7.53738574855093,7.59658822504928
"FANCE",5.99112554158793,6.23047629317149,6.07272404660767,5.95161663395893,5.63995783451052,5.75090025956489,6.35357356304551,6.21684933260373,6.08526632341394,6.01105339837683,5.96347796235352,6.04142523029003
"ALDH3A1",5.4029715234888,5.4737108319933,5.62975754184444,5.51653379264523,5.40286278642041,5.29185598408646,5.23157549891156,5.03646339913214,5.37428274096786,5.39610566439783,5.37012462088866,5.52181633550273
"ACSL1",7.01762936940639,7.04752217391435,7.06495850777618,6.69688204767998,6.69076164315975,6.47330192580326,6.87973662911378,7.11841342900688,7.04343945842006,6.71966913693015,6.71309782798631,6.81960310578297
"ACSL3",9.22043167399992,9.20009605929154,9.24046540249153,9.05036648001985,8.96559629297179,9.06075233687194,9.27748200311973,9.41529886929206,9.19223776756518,9.16955234392573,9.15958563443377,9.21980197426428
"ACSL4",9.85870715560571,9.76184652384961,9.92980220535008,9.30384395309309,9.28309315659518,9.42538712432214,9.7940257756872,9.69082165791034,10.0350138901135,9.57749466340855,9.51359857481819,9.52439882927865
"FAH",6.16651657886415,6.33757615208412,6.26560990512369,6.17319101728538,6.16017900093289,5.9509259069069,6.85665977492264,6.30827122933096,6.68157087105551,6.4735247578678,6.42223128445914,6.55491065080954
"PTK2B",5.8108507090618,5.79822652328375,5.65529943446543,5.88360452837263,5.83189568288112,5.71688457259008,5.87198250059598,5.71101464980759,5.87800418544759,5.88076903559121,5.87229085114546,5.7792118583303
"BPTF",10.3264623537199,10.0948577015366,10.3910070866422,10.3444750787943,10.3142365452647,10.3057998663744,10.084209576651,10.2094357499105,10.5990615196582,10.3503298008767,10.3809145181879,10.2740202147646
"FANCB",5.80142262001329,5.87537435451865,6.2665156466488,5.47304877563892,5.01538389747934,5.45622169688498,5.9259111163259,5.89885054191632,6.00288063004021,5.43626675867496,5.08952416861736,5.2126293540835
"FANCF",6.90425419221928,6.96547114694742,6.93925799318809,6.95637479601741,7.03316396983335,7.01439378880839,7.2348549362237,7.1860974843004,6.98296098270472,6.75859258976669,6.91899711272659,6.8441225780119
"FANCG",7.07069637127384,6.96461729352704,7.0444879323539,6.78012773756655,6.62050298170662,6.50891595236387,7.02343217494865,6.99060728188716,6.99472518338182,6.7555694898449,6.62634605054853,6.7359133397981
"ALDH1B1",8.82805105564641,8.71742053610319,8.86192079354216,8.370607409852,8.545766827219,8.28771195457828,8.52823169380724,8.39374489464728,8.59920411161919,8.47835902527138,8.37631714305508,8.3784903944822
"FAP",4.56717210834484,4.12592587961343,4.44717846776533,5.01986595892252,5.08940715292731,4.87296911896247,4.61611696047848,4.42067201258131,4.69555865666124,4.39955797009898,4.51682554757641,4.64224356591503
"FBLN1",4.43921634644172,4.73177763947626,4.79389903111675,5.18487353953468,4.92859152635529,4.96207664632416,4.79414377081132,4.85019307399121,4.90179081527285,4.89724219154425,4.71507078139201,4.94797797348245
